ID,Title,Release Year,Locations,Fun Facts
307,Beautiful Boy,2018,Divisadero between Broadway and Greenwich,
308,Ant-Man and the Wasp,2018,490 Geary St,VFX Plate Shots
309,Bitter Melon,2018,"Pay and Save Grocery, 599 Guerrero St",The film won Best Narrative Feature at the San Diego Asian Film Festival.
310,Venom,2018,O'Farrell between Leavenworth and Jones,
311,A Taiwanese Tale of Two Cities,2018,Dolores Park,
312,The OA Part II,2019,Hyde St at Pacific to Washington St,
313,Always Be My Maybe,2019,Golden Gate Music Concourse,
314,Tales of the City,2019,Macondray Ln and Taylor btwn Union and Green,
315,The Last Black Man in San Francisco,2019,Folsom btwn Cortland and Eugenia Ave,
316,The Phone/Jexi,2019,135 Mississippi St,
317,DEVS,2020,20th at Noe St,
318,Sonic the Hedgehog,2020,Grid within Montgomery St; Davis St; Pacific St; Bush St,
319,Women is Losers,2020,Immaculate Conception Academy - 3625 24th St,
320,Shit and Champagne,2020,Oasis Nightclub - 298 11th St,
321,Alive,2020,Embarcadero near Pier 14,
322,Venom: Let There Be Carnage,2021,O'Farrell between Leavenworth and Jones,
323,Goliath- Season 4,2021,California and Mason,
324,Shang-Chi and the Legend of the Ten Rings,2021,"Caifornia, Mason, Powell, Joice St and Stockton",
325,Clickbait,2021,Pier 7,
326,The Matrix Resurrections,2021,"House of Nanking, 919 Kearny",
